id,name,nationality,position,age,birth_year,value,height
942,Anwar El Ghazi,nl NED,"FW,MF",24,1995,8000000,189
1002,Jack Grealish,eng ENG,"FW,MF",23,1995,30000000,180
1029,Frederic Guilbert,fr FRA,DF,24,1994,7000000,178
1062,Kortney Hause,eng ENG,DF,24,1995,6000000,191
1067,Tom Heaton,eng ENG,GK,33,1986,4000000,188
1117,Conor Hourihane,ie IRL,MF,28,1991,6000000,181
1213,Jota,es ESP,"FW,MF",28,1991,2500000,178
1287,Jonathan Kodjia,ci CIV,"FW,MF",29,1989,3000000,189
1302,Ezri Konsa,eng ENG,DF,21,1997,6000000,183
1360,Henri Lansbury,eng ENG,MF,28,1990,1000000,183
1477,Douglas Luiz,br BRA,MF,21,1998,27000000,175
1611,John McGinn,sco SCO,MF,24,1994,16000000,178
1669,Tyrone Mings,eng ENG,DF,26,1993,22000000,195
1696,Wesley Moraes,br BRA,FW,22,1996,20000000,191
1758,Marvelous Nakamba,zw ZIM,MF,25,1994,8000000,177
1812,Ărjan Nyland,no NOR,GK,28,1990,1200000,192
2085,Pepe Reina,es ESP,GK,36,1982,65000,188
2217,Mbwana Samatta,tz TAN,FW,26,1992,9000000,183
2446,Matt Targett,eng ENG,DF,23,1995,10000000,183
2452,Neil Taylor,wal WAL,DF,30,1989,2000000,176
2534,TrĂ©zĂ©guet,eg EGY,"FW,MF",24,1994,8000000,179
2580,Indiana Vassilev,us USA,"FW,MF",18,2001,25000,175
111,Guilherme Arana,br BRA,DF,22,1997,2000000,176
206,Musa Barrow,gm GAM,"FW,MF",20,1998,11000000,184
237,Raoul Bellanova,it ITA,DF,19,2000,90000,188
418,Mattia Caldara,it ITA,DF,25,1994,11000000,187
465,Timothy Castagne,be BEL,DF,23,1995,16000000,180
538,Ebrima Colley,gm GAM,FW,19,2000,80000,179
605,Jacopo Da Riva,it ITA,FW,18,2000,20000,187
704,Berat Djimsiti,al ALB,DF,26,1993,12000000,190
888,Remo Freuler,ch SUI,MF,27,1992,20000000,180
969,Pierluigi Gollini,it ITA,GK,24,1995,13000000,194
977,Papu GĂłmez,ar ARG,"MF,FW",31,1988,15000000,165
990,Robin Gosens,de GER,DF,25,1994,20000000,183
1061,Hans Hateboer,nl NED,DF,25,1994,12000000,185
1149,Josip Ilicic,si SVN,FW,31,1988,15000000,190
1275,Simon KjĂ¦r,dk DEN,DF,30,1989,7000000,191
1474,JosĂ© Luis Palomino,ar ARG,DF,29,1990,8000000,188
1515,Ruslan Malinovskyi,ua UKR,"MF,FW",26,1993,11000000,181
1579,Andrea Masiello,it ITA,DF,33,1986,1000000,184
1735,Luis Muriel,co COL,FW,28,1991,15000000,179
1900,Mario PaĹˇaliÄ‡,hr CRO,"MF,FW",24,1995,25000000,188
1976,Roberto Piccoli,it ITA,FW,18,2001,1000000,190
2161,Marten de Roon,nl NED,MF,28,1991,19000000,185
2167,Francesco Rossi,it ITA,GK,28,1991,10000,193
2382,Marco Sportiello,it ITA,GK,27,1992,2000000,192
2427,Bosko Sutalo,hr CRO,DF,19,2000,3000000,188
2442,Adrien Tameze,cm CMR,MF,25,1994,4500000,180
2496,Rafael TolĂłi,br BRA,DF,28,1990,12000000,185
2524,Amad TraorĂ©,ci CIV,FW,17,2002,12000000,173
2704,DuvĂˇn Zapata,co COL,FW,28,1991,36000000,189
19,Aritz Aduriz,es ESP,FW,38,1981,800,181
69,Yeray Ălvarez,es ESP,DF,24,1995,24000000,182
175,Mikel Balenziaga,es ESP,DF,31,1988,1000000,177
269,Yuri Berchiche,es ESP,DF,29,1990,16000000,181
443,Ander Capa,es ESP,DF,27,1992,6000000,175
554,IĂ±igo CĂłrdoba,es ESP,FW,22,1997,3000000,180
793,BeĂ±at Etxebarria,es ESP,MF,32,1987,2000000,176
915,Dani GarcĂ­a,es ESP,MF,29,1990,4000000,179
922,RaĂşl GarcĂ­a,es ESP,"MF,FW",33,1986,4500000,0
973,Ibai GĂłmez,es ESP,FW,29,1989,3000000,178
1092,Iago HerrerĂ­n,es ESP,GK,31,1988,2000000,187
1288,Kenan Kodro,ba BIH,"FW,MF",25,1993,80000,188
1365,Larra,es ESP,"FW,MF",21,1997,2000000,180
1395,IĂ±igo Lekue,es ESP,"FW,DF",26,1993,1000000,180
1457,Unai LĂłpez,es ESP,MF,23,1995,2000000,170
1541,Ă“scar de Marcos,es ESP,"DF,FW",30,1989,3000000,182
1569,IĂ±igo MartĂ­nez,es ESP,DF,28,1991,25000000,182
1730,Iker Muniain,es ESP,"FW,MF",26,1992,14000000,169
1809,Unai NĂşĂ±ez,es ESP,DF,22,1997,16000000,186
2222,Mikel San JosĂ©,es ESP,MF,30,1989,4000000,187
2224,Oihan Sancet,es ESP,MF,19,2000,2000000,188
2326,Unai SimĂłn,es ESP,GK,22,1997,16000000,190
2598,Mikel Vesga,es ESP,MF,26,1993,2000000,191
2611,Asier Villalibre,es ESP,FW,21,1997,3000000,184
2664,IĂ±aki Williams,es ESP,FW,25,1994,40000000,186
13,Antonio AdĂˇn,es ESP,GK,32,1987,80000,190
119,Santiago Arias,co COL,DF,27,1992,12000000,177
432,Sergio Camello,es ESP,FW,18,2001,2000000,177
455,Yannick Carrasco,be BEL,"MF,FW",25,1993,22000000,181
527,Ă“scar Clemente,es ESP,MF,20,1999,90000,175
562,Ăngel Correa,ar ARG,"MF,FW",24,1995,32000000,171
569,Diego Costa,es ESP,FW,30,1988,14000000,186
828,Felipe,br BRA,DF,30,1989,25000000,190
832,JoĂŁo FĂ©lix,pt POR,"FW,MF",19,1999,81000000,180
1079,Mario Hermoso,es ESP,DF,24,1995,20000000,184
1089,HĂ©ctor Herrera,mx MEX,MF,29,1990,16000000,180
1290,Koke,es ESP,MF,27,1992,60000000,176
1397,Thomas Lemar,fr FRA,MF,23,1995,24000000,171
1428,Marcos Llorente,es ESP,"MF,FW",24,1995,16000000,184
1437,Renan Lodi,br BRA,DF,21,1998,31000000,178
1545,JosĂ© MarĂ­a GimĂ©nez,uy URU,DF,24,1995,70000000,185
1698,Ălvaro Morata,es ESP,FW,26,1992,36000000,187
1793,SaĂşl Ă‘Ă­guez,es ESP,"MF,DF",24,1994,72000000,184
1818,Jan Oblak,si SVN,GK,26,1993,90000000,188
1899,Thomas Partey,gh GHA,MF,26,1993,40000000,185
2015,DarĂ­o Poveda,es ESP,FW,22,1997,25000,187
2111,Rodrigo Riquelme,es ESP,MF,19,2000,2000000,174
2232,Manuel SĂˇnchez,es ESP,DF,18,2000,8000000,171
2260,Stefan SaviÄ‡,me MNE,DF,28,1991,20000000,187
2538,Kieran Trippier,eng ENG,DF,28,1990,28000000,173
2562,GermĂˇn Valera,es ESP,FW,17,2002,1000000,170
2617,Vitolo,es ESP,"MF,FW",29,1989,10000000,185
2627,Ĺ ime Vrsaljko,hr CRO,DF,27,1992,10000000,181
161,Daniel Baier,de GER,MF,35,1984,40000,176
224,Noah Joel Sarenren Bazee,ng NGA,FW,22,1996,1500000,183
556,Sergio CĂłrdova,ve VEN,"FW,MF",21,1997,1000000,188
831,Ohis Felix Uduokhai,de GER,DF,21,1997,12000000,192
853,AlfreĂ° Finnbogason,is ISL,FW,30,1989,2500000,184
880,Raphael Framberger,de GER,DF,23,1995,1000000,179
995,Jeffrey Gouweleeuw,nl NED,DF,28,1991,9000000,187
1004,Michael Gregoritsch,at AUT,"MF,FW",25,1994,5000000,193
1015,Carlos Gruezo,ec ECU,MF,24,1995,1000000,171
1048,AndrĂ© Hahn,de GER,"FW,MF",28,1990,1000000,185
1131,Iago,br BRA,"DF,MF",22,1997,6500000,181
1191,Tin Jedvaj,hr CRO,DF,23,1995,7000000,188
1193,Fredrik Jensen,fi FIN,"FW,MF",21,1997,2000000,183
1266,Rani Khedira,de GER,MF,25,1994,8000000,188
1309,TomĂˇĹˇ Koubek,cz CZE,GK,26,1992,2500000,197
1413,Stephan Lichtsteiner,ch SUI,DF,35,1984,80000,182
1463,Eduard LĂ¶wen,de GER,"MF,FW",22,1997,5000000,188
1486,Andreas Luthe,de GER,GK,32,1987,40000,195
1595,Philipp Max,de GER,DF,25,1993,13000000,177
1699,Jan MorĂˇvek,cz CZE,MF,29,1989,60000,180
1792,Florian Niederlechner,de GER,"FW,MF",28,1990,8000000,187
1864,Reece Oxford,eng ENG,MF,20,1998,2000000,190
1915,Mads Pedersen,dk DEN,DF,22,1996,72500,174
2103,Marco Richter,de GER,"MF,FW",21,1997,8000000,176
2265,Julian Schieber,de GER,FW,30,1989,60000,186
2418,Marek SuchĂ˝,cz CZE,DF,31,1988,1000000,183
2455,Georg Teigl,at AUT,"DF,MF",28,1991,55000,183
2577,Ruben Vargas,ch SUI,"FW,MF",20,1998,9000000,174
44,Jordi Alba,es ESP,DF,30,1989,40000000,170
55,Carles AleĂ±Ăˇ,es ESP,MF,21,1998,18000000,180
115,Ronald AraĂşjo,uy URU,DF,20,1999,4000000,188
353,Martin Braithwaite,dk DEN,"FW,MF",28,1991,9000000,177
394,Sergio Busquets,es ESP,MF,31,1988,28000000,189
537,Ălex Collado,es ESP,DF,20,1999,4000000,177
650,Ousmane DembĂ©lĂ©,fr FRA,FW,22,1997,56000000,178
820,Ansu Fati,es ESP,"FW,DF",16,2002,80000000,178
855,Junior Firpo,es ESP,DF,22,1996,14000000,184
1007,Antoine Griezmann,fr FRA,FW,28,1991,96000000,176
1204,Frenkie de Jong,nl NED,MF,22,1997,72000000,181
1399,ClĂ©ment Lenglet,fr FRA,DF,24,1995,48000000,186
1627,Arthur Melo,br BRA,MF,22,1996,60000000,172
1649,Lionel Messi,ar ARG,"FW,MF",32,1987,112000000,170
1945,Carles PĂ©rez,es ESP,FW,21,1998,9000000,173
1987,Gerard PiquĂ©,es ESP,DF,32,1987,20000000,194
2028,Riqui Puig,es ESP,MF,19,1999,9000000,169
2050,Rafinha,br BRA,"FW,MF",26,1993,9500000,174
2056,Ivan Rakitic,hr CRO,MF,31,1988,10000000,184
2122,Sergi Roberto,es ESP,"DF,MF",27,1992,40000000,178
2290,NĂ©lson Semedo,pt POR,DF,25,1993,32000000,177
2414,Luis SuĂˇrez,uy URU,FW,32,1987,28000000,182
2463,Marc-AndrĂ© ter Stegen,de GER,GK,27,1992,72000000,187
2490,Jean-Clair Todibo,fr FRA,DF,19,1999,9000000,190
2551,Samuel Umtiti,fr FRA,DF,25,1993,32000000,182
2604,Arturo Vidal,cl CHI,MF,32,1987,11000000,180
2632,Moussa WaguĂ©,sn SEN,DF,20,1998,6000000,177
41,David Alaba,at AUT,DF,27,1992,52000000,180
50,Thiago AlcĂˇntara,es ESP,MF,28,1991,48000000,174
309,JĂ©rĂ´me Boateng,de GER,DF,30,1988,12000000,190
544,Kingsley Coman,fr FRA,"FW,MF",23,1996,40000000,180
579,Philippe Coutinho,br BRA,"MF,FW",27,1992,56000000,172
592,MickaĂ«l Cuisance,fr FRA,"MF,FW",19,1999,10000000,181
612,Leon Dajaku,de GER,DF,18,2001,2000000,180
625,Alphonso Davies,ca CAN,DF,18,2000,45000000,183
960,Serge Gnabry,de GER,"FW,MF",24,1995,72000000,176
988,Leon Goretzka,de GER,MF,24,1995,40000000,189
1084,Lucas HernĂˇndez,fr FRA,DF,23,1996,56000000,182
1271,Joshua Kimmich,de GER,"MF,DF",24,1995,64000000,177
1410,Robert Lewandowski,pl POL,FW,30,1988,56000000,185
1571,Javi MartĂ­nez,es ESP,"DF,MF",30,1988,20000,180
1728,Thomas MĂĽller,de GER,"MF,FW",29,1989,25000000,185
1776,Manuel Neuer,de GER,GK,33,1986,14000000,193
1822,Ălvaro Odriozola,es ESP,DF,23,1995,16000000,176
1827,Kwasi Okyere Wriedt,gh GHA,FW,25,1994,80000,188
1907,Benjamin Pavard,fr FRA,DF,23,1996,28000000,186
1954,Ivan PeriĹˇiÄ‡,hr CRO,"FW,MF",30,1989,15000000,187
2101,Chris Richards,us USA,DF,19,2000,1000000,188
2225,Renato Sanches,pt POR,MF,21,1997,16000000,176
2328,Sarpreet Singh,nz NZL,"FW,MF",20,1999,90000,175
2419,Niklas SĂĽle,de GER,DF,23,1995,48000000,195
2494,Corentin Tolisso,fr FRA,MF,24,1994,25000000,181
2550,Sven Ulreich,de GER,GK,30,1988,3000000,192
2717,Joshua Zirkzee,nl NED,FW,18,2001,6000000,193
56,Carles AleĂ±Ăˇ,es ESP,"MF,FW",21,1998,18000000,180
200,Antonio BarragĂˇn,es ESP,DF,32,1987,1000000,186
208,Marc Bartra,es ESP,"DF,MF",28,1991,17000000,184
438,Sergio Canales,es ESP,"MF,FW",28,1991,20000000,180
461,William Carvalho,pt POR,MF,27,1992,16000000,187
773,Emerson,br BRA,DF,20,1999,25000000,183
825,Zouhair Feddal,ma MAR,DF,30,1989,4000000,192
827,Nabil Fekir,fr FRA,"MF,FW",26,1993,32000000,173
918,Javi GarcĂ­a,es ESP,MF,32,1987,1000000,187
986,Ă‰dgar GonzĂˇlez,es ESP,MF,22,1997,1000000,193
1018,AndrĂ©s Guardado,mx MEX,MF,32,1986,3000000,169
1043,Ismael GutiĂ©rrez,es ESP,MF,18,2000,90000,0
1142,Borja Iglesias,es ESP,FW,26,1993,14000000,187
1198,JoaquĂ­n,es ESP,"MF,FW",38,1981,1500000,181
1219,Juanmi,es ESP,"FW,MF",26,1993,3000000,172
1247,Wilfrid Kaptoum,cm CMR,MF,23,1996,2000000,170
1351,Diego Lainez,mx MEX,"MF,FW",19,2000,9000000,167
1525,AĂŻssa Mandi,dz ALG,DF,27,1991,16000000,184
1561,Daniel MartĂ­n,es ESP,GK,21,1998,3500000,187
1703,Ălex Moreno,es ESP,DF,26,1993,5000000,179
1709,Loren MorĂłn,es ESP,FW,25,1993,16000000,185
1916,Alfonso Pedraza,es ESP,DF,23,1996,9000000,184
2127,Joel Robles,es ESP,GK,29,1990,6000000,197
2138,Guido RodrĂ­guez,ar ARG,MF,25,1994,8000000,185
2307,Sidnei,br BRA,DF,29,1989,5000000,185
2459,Cristian Tello,es ESP,"MF,FW",27,1991,4000000,178
184,Mattia Bani,it ITA,DF,25,1993,2000000,188
205,Musa Barrow,gm GAM,FW,20,1998,11000000,184
327,Federico Bonini,it ITA,DF,17,2001,25000,185
441,Gianmarco Cangiano,it ITA,"FW,MF",17,2001,50000,176
552,Gabriele Corbo,it ITA,DF,19,2000,72500,186
658,Stefano Denswil,nl NED,DF,26,1993,4000000,188
663,Mattia Destro,it ITA,FW,28,1991,2000000,182
689,Mitchell Dijks,nl NED,DF,26,1993,4000000,194
711,NicolĂˇs DomĂ­nguez,ar ARG,MF,21,1998,15000000,179
755,Blerim DĹľemaili,ch SUI,MF,33,1986,700,180
815,Andri Fannar Baldursson,is ISL,MF,17,2002,800000,187
1225,Musa Juwara,gm GAM,"FW,MF",17,2001,80000,170
1323,Ladislav KrejÄŤĂ­,cz CZE,DF,27,1992,1800000,179
1364,Danilo Larangeira,br BRA,DF,35,1984,600,185
1603,Ibrahima Mbaye,sn SEN,DF,24,1994,2000000,188
1619,Gary Medel,cl CHI,MF,31,1987,2000000,171
1653,Kingsley Michael,ng NGA,MF,19,1999,90000,176
1850,Riccardo Orsolini,it ITA,"FW,MF",22,1997,20000000,183
1878,Rodrigo Palacio,ar ARG,FW,37,1982,40000,176
1912,NehuĂ©n Paz,ar ARG,DF,26,1993,32500,191
2000,Andrea Poli,it ITA,MF,29,1989,2000000,182
2177,Dion Ruffo Luci,it ITA,MF,18,2001,10000,0
2243,Nicola Sansone,it ITA,"FW,MF",27,1991,6000000,173
2245,Federico Santander,py PAR,FW,28,1991,4000000,187
2280,Jerdy Schouten,nl NED,MF,22,1997,3000000,185
2340,Ĺukasz Skorupski,pl POL,GK,28,1991,5000000,187
2341,Andreas Skov Olsen,dk DEN,"FW,MF",19,1999,6000000,187
2370,Roberto Soriano,it ITA,MF,28,1991,6000000,182
2429,Mattias Svanberg,se SWE,MF,20,1999,5000000,185
2498,Takehiro Tomiyasu,jp JPN,DF,20,1998,13000000,188
17,Yacine Adli,fr FRA,"MF,FW",19,2000,6000000,186
32,Youssef AĂŻt Bennasser,ma MAR,MF,23,1996,4000000,184
211,Toma BaĹˇiÄ‡,hr CRO,MF,22,1996,7000000,189
236,Raoul Bellanova,it ITA,DF,19,2000,90000,188
253,Loris Benito,ch SUI,DF,27,1992,3000000,184
259,Yassine Benrahou,fr FRA,"FW,MF",20,1999,2000000,170
365,Jimmy Briand,fr FRA,FW,33,1985,1000000,183
574,BenoĂ®t Costil,fr FRA,GK,32,1987,4000000,188
1215,VukaĹˇin JovanoviÄ‡,rs SRB,DF,23,1996,2000000,188
1236,Samuel Kalu,ng NGA,"FW,DF",21,1997,6000000,176
1238,FranĂ§ois Kamano,gn GUI,"DF,MF",23,1996,8000000,182
1304,Laurent Koscielny,fr FRA,DF,33,1985,4000000,185
1340,Enock Kwateng,fr FRA,DF,22,1997,3000000,181
1459,Albert Lottin,fr FRA,MF,17,2001,45000,181
1507,Josh Maja,ng NGA,FW,20,1998,6500000,180
1651,Mexer,mz MOZ,DF,30,1988,2000000,188
1856,OtĂˇvio,br BRA,MF,25,1994,7000000,176
1859,Remi Oudin,fr FRA,FW,22,1996,7000000,185
1870,Pablo,br BRA,DF,28,1991,8000000,188
1892,RubĂ©n Pardo,es ESP,MF,26,1992,2000000,181
2014,Maxime PoundjĂ©,fr FRA,DF,26,1992,2000000,179
2022,Nicolas de PrĂ©ville,fr FRA,"MF,FW",28,1991,5000000,182
2190,Youssouf Sabaly,sn SEN,DF,26,1993,8000000,174
2453,AurĂ©lien TchouamĂ©ni,fr FRA,MF,19,2000,15000000,185
2547,Hwang Ui-jo,kr KOR,"FW,MF",26,1992,2500000,185
38,Nathan AkĂ©,nl NED,DF,24,1995,28000000,180
295,Philip Billing,dk DEN,MF,23,1996,14000000,193
369,David Brooks,wal WAL,MF,22,1997,24000000,173
549,Lewis Cook,eng ENG,MF,22,1997,16000000,175
550,Steve Cook,eng ENG,DF,28,1991,9000000,185
616,Charlie Daniels,eng ENG,DF,32,1986,1000000,178
881,Simon Francis,eng ENG,DF,34,1985,80000,191
883,Ryan Fraser,sco SCO,"MF,FW",25,1994,17000000,163
991,Dan Gosling,eng ENG,MF,29,1990,2000000,180
1012,Arnaut Groeneveld,nl NED,MF,22,1997,10000000,178
1134,Jordon Ibe,eng ENG,DF,23,1995,4000000,176
1259,Lloyd Kelly,eng ENG,DF,20,1998,8000000,191
1273,Joshua King,no NOR,"FW,MF",27,1992,16000000,187
1408,Jefferson Lerma,co COL,MF,24,1994,20000000,179
1639,Chris Mepham,wal WAL,DF,21,1997,8000000,191
2063,Aaron Ramsdale,eng ENG,GK,21,1998,12000000,191
2104,Diego Rico,es ESP,DF,26,1993,8000000,183
2327,Jack Simpson,eng ENG,DF,22,1996,1000000,190
2351,Adam Smith,eng ENG,DF,28,1991,7000000,174
2361,Dominic Solanke,eng ENG,"FW,MF",21,1997,12000000,186
2388,Jack Stacey,eng ENG,DF,23,1996,3000000,180
2391,Junior Stanislas,eng ENG,"MF,DF",29,1989,2000000,183
2423,Andrew Surman,eng ENG,MF,32,1986,1000000,178
2424,Sam Surridge,eng ENG,FW,21,1998,45000,190
2532,Mark Travers,ie IRL,GK,20,1999,25000,191
2669,Callum Wilson,eng ENG,FW,27,1992,24000000,180
2670,Harry Wilson,wal WAL,"MF,FW",22,1997,17000000,173
59,Enrico Alfonso,it ITA,GK,31,1988,47500,191
89,Lorenzo Andrenacci,it ITA,GK,24,1995,10000,188
147,Florian AyĂ©,fr FRA,"FW,MF",22,1997,1000000,184
180,Mario Balotelli,it ITA,FW,28,1990,5000000,189
299,Dimitri Bisoli,it ITA,MF,25,1994,2000000,180
303,Birkir Bjarnason,is ISL,"MF,FW",31,1988,80000,184
491,Jhon Chancellor,ve VEN,DF,27,1992,1000000,197
522,Andrea Cistana,it ITA,DF,22,1997,6000000,185
595,Felipe Curcio,br BRA,DF,26,1993,30000,185
662,Daniele Dessena,it ITA,MF,32,1987,40000,182
715,Alfredo Donnarumma,it ITA,FW,28,1990,4000000,180
929,Daniele Gastaldello,it ITA,DF,36,1983,30000,187
944,Andrea Ghezzi,it ITA,"DF,MF",0,0,15000,0
1210,Jesse Joronen,fi FIN,GK,26,1993,4000000,197
